checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3-1125-32B,B_src-cap_stale-qual,B,source-capacity,inferential,medium,stale-quality,adversarial,0.6,0.4,0.0,0.0303101,0.0109376,0.0023997999999999997,10,Base
Olmo-3-1125-32B,B_src-cap_stale-time,B,source-capacity,inferential,medium,stale-time,adversarial,0.6,0.4,0.0,0.035278199999999996,0.009576499999999998,0.0014477000000000001,10,Base
Olmo-3-1125-32B,B_src-mot_none,B,source-motivation,inferential,medium,none,adversarial,0.9,0.1,0.0,0.0153809,0.0155211,0.0079376,10,Base
Olmo-3-1125-32B,B_src-mot_stale-qual,B,source-motivation,inferential,medium,stale-quality,adversarial,0.6,0.4,0.0,0.0259521,0.016589299999999998,0.00226,10,Base
Olmo-3-1125-32B,B_src-mot_stale-time,B,source-motivation,inferential,medium,stale-time,adversarial,0.6,0.4,0.0,0.0270689,0.0169158,0.0009188,10,Base
Olmo-3-1125-32B,C_env_stat_strong,C,environmental,statistical,strong,fresh,adversarial,0.3,0.7,0.0,0.0204285,0.0133728,0.0021026,10,Base
Olmo-3-1125-32B,C_env_stat_weak,C,environmental,statistical,weak,fresh,adversarial,0.3,0.7,0.0,0.0181091,0.0144378,0.0019493,10,Base
Olmo-3-1125-32B,C_skr-cap_stat_strong,C,seeker-capacity,statistical,strong,fresh,adversarial,0.3,0.7,0.0,0.0262206,0.0146179,0.0021159,10,Base
Olmo-3-1125-32B,C_skr-cap_stat_weak,C,seeker-capacity,statistical,weak,fresh,adversarial,0.5,0.5,0.0,0.0352966,0.0121124,0.0014384,10,Base
Olmo-3-1125-32B,C_src-cap_stat_strong,C,source-capacity,statistical,strong,fresh,adversarial,0.9,0.1,0.0,0.0346558,0.0057908000000000005,0.0012314000000000001,10,Base
Olmo-3-1125-32B,C_src-cap_stat_weak,C,source-capacity,statistical,weak,fresh,adversarial,0.4,0.6,0.0,0.035901,0.010501,0.0007962000000000001,10,Base
Olmo-3-1125-32B,C_src-mot_stat_strong,C,source-motivation,statistical,strong,fresh,adversarial,0.9,0.1,0.0,0.0364259,0.0038024,0.0009335,10,Base
Olmo-3-1125-32B,C_src-mot_stat_weak,C,source-motivation,statistical,weak,fresh,adversarial,0.7,0.3,0.0,0.036999500000000005,0.006173,0.0010935,10,Base
Olmo-3-1125-32B,D_cooperate_fresh,D,no-cue,none,none,fresh,cooperate,1.0,0.0,0.0,0.029492200000000003,0.0018882,0.00026900000000000003,10,Base
