model,n_episodes,agreement_rate,parse_failure_rate,implicit_agreement_rate,inconsistent_allocation_rate,zero_value_hoarding_rate,prompt_leakage_rate,repetitive_loop_rate,max_turns_hit_rate,single_word_turns_rate,parenthetical_aside_rate,no_proposal_rate,ultimatum_rate,agent_parroting_rate,meta_commentary_rate,value_revelation_rate,exceeds_available_rate
DeepSeek-R1-Distill-Llama-8B,100,0.2800,0.0000,0.2800,0.0000,0.0800,0.2000,0.9700,1.0000,0.0000,0.0000,0.0000,0.0000,0.5100,0.0000,0.0100,0.0000
Meta-Llama-3-8B-Instruct,100,0.0400,0.0000,0.0400,0.0000,0.0200,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9400,0.0000,0.0200,0.0000
Mistral-7B-Instruct-v0.2,100,0.4100,0.0000,0.2100,0.0000,0.1600,0.0000,0.7400,0.8200,0.0000,0.0200,0.0000,0.0000,0.0100,0.0000,0.0100,0.0400
Mistral-7B-Instruct-v0.3,100,0.5300,0.0000,0.2500,0.0000,0.2900,0.0000,0.7700,0.7300,0.0000,0.0700,0.0000,0.0000,0.0000,0.0100,0.0700,0.1000
Qwen2.5-7B-Instruct,100,0.9300,0.0000,0.2200,0.0000,0.5900,0.0000,0.7600,0.3500,0.0000,0.0000,0.0000,0.0000,0.1100,0.0000,0.0800,0.0100
Qwen3-8B,100,0.8600,0.0000,0.1200,0.0000,0.2800,0.0000,0.2900,0.2700,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000
Qwen_Qwen3-14B,100,0.9000,0.0000,0.7400,0.0000,0.1700,0.0000,0.8400,0.8400,0.0000,0.0000,0.0000,0.0000,0.0800,0.0000,0.0000,0.0000
allenai_OLMo-3-7B-Instruct,100,0.7200,0.0000,0.5500,0.0000,0.2400,0.0000,0.8400,0.8300,0.0100,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000
gemini-3.1-pro-preview,100,0.9800,0.0000,0.9800,0.0000,0.2100,0.0000,0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
