checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3-1125-32B,B_src-cap_stale-qual,B,source-capacity,inferential,medium,stale-quality,adversarial,0.59,0.41,0.0,0.03224304,0.01104339,0.00231637,100,Base
Olmo-3-1125-32B,B_src-cap_stale-time,B,source-capacity,inferential,medium,stale-time,adversarial,0.59,0.41,0.0,0.032853400000000005,0.00921494,0.0012665699999999998,100,Base
Olmo-3-1125-32B,B_src-mot_none,B,source-motivation,inferential,medium,none,adversarial,0.53,0.47,0.0,0.014370399999999998,0.0180435,0.00896729,100,Base
Olmo-3-1125-32B,B_src-mot_stale-qual,B,source-motivation,inferential,medium,stale-quality,adversarial,0.49,0.51,0.0,0.02246337,0.016886,0.00200556,100,Base
Olmo-3-1125-32B,B_src-mot_stale-time,B,source-motivation,inferential,medium,stale-time,adversarial,0.44,0.56,0.0,0.021855190000000004,0.01893522,0.0010140499999999998,100,Base
Olmo-3-1125-32B,C_env_stat_strong,C,environmental,statistical,strong,fresh,adversarial,0.53,0.47,0.0,0.026566779999999998,0.013302290000000001,0.0019121,100,Base
Olmo-3-1125-32B,C_env_stat_weak,C,environmental,statistical,weak,fresh,adversarial,0.38,0.62,0.0,0.02137577,0.012947450000000001,0.00170072,100,Base
Olmo-3-1125-32B,C_skr-cap_stat_strong,C,seeker-capacity,statistical,strong,fresh,adversarial,0.46,0.54,0.0,0.03181365,0.01487336,0.00212547,100,Base
Olmo-3-1125-32B,C_skr-cap_stat_weak,C,seeker-capacity,statistical,weak,fresh,adversarial,0.5,0.5,0.0,0.03525385,0.012029119999999999,0.00121939,100,Base
Olmo-3-1125-32B,C_src-cap_stat_strong,C,source-capacity,statistical,strong,fresh,adversarial,0.91,0.06,0.0,0.04206361,0.00459839,0.00092298,100,Base
Olmo-3-1125-32B,C_src-cap_stat_weak,C,source-capacity,statistical,weak,fresh,adversarial,0.54,0.45,0.0,0.03850402,0.00985989,0.0008606099999999999,100,Base
Olmo-3-1125-32B,C_src-mot_stat_strong,C,source-motivation,statistical,strong,fresh,adversarial,0.92,0.08,0.0,0.04405461,0.00399863,0.0009053700000000001,100,Base
Olmo-3-1125-32B,C_src-mot_stat_weak,C,source-motivation,statistical,weak,fresh,adversarial,0.87,0.12,0.0,0.04422851,0.005225649999999999,0.0008864400000000001,100,Base
Olmo-3-1125-32B,D_cooperate_fresh,D,no-cue,none,none,fresh,cooperate,1.0,0.0,0.0,0.02817686,0.0017353099999999999,0.00025883,100,Base
Olmo-3-1125-32B,D_cooperate_none,D,no-cue,none,none,none,cooperate,0.58,0.26,0.16,0.011861330000000002,0.00756185,0.007873409999999999,100,Base
Olmo-3-1125-32B,D_cooperate_stale-qual,D,no-cue,none,none,stale-quality,cooperate,0.99,0.01,0.0,0.02968384,0.0034930699999999996,0.00151622,100,Base
Olmo-3-1125-32B,D_cooperate_stale-time,D,no-cue,none,none,stale-time,cooperate,1.0,0.0,0.0,0.028903210000000002,0.00217564,0.00024502,100,Base
Olmo-3.1-32B-Instruct,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,0.86,0.14,0.0,0.16721011,0.02861796,0.0029233,100,Instruct
Olmo-3.1-32B-Instruct,A_env_direct,A,environmental,direct,medium,fresh,adversarial,0.41,0.59,0.0,0.05408233,0.0927777,0.0031871399999999998,100,Instruct
Olmo-3.1-32B-Instruct,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,0.35,0.65,0.0,0.049451539999999995,0.0938409,0.00472509,100,Instruct
Olmo-3.1-32B-Instruct,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,0.81,0.19,0.0,0.17561070999999998,0.05745889,0.00084993,100,Instruct
Olmo-3.1-32B-Instruct,A_env_statistical,A,environmental,statistical,medium,fresh,adversarial,0.89,0.11,0.0,0.14894772,0.04560009,0.0047309,100,Instruct
Olmo-3.1-32B-Instruct,A_no-cue,A,no-cue,none,none,fresh,adversarial,0.97,0.03,0.0,0.19633547,0.00705001,0.00012579,100,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,0.92,0.08,0.0,0.11307066,0.01756503,0.0031492300000000003,100,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,0.97,0.03,0.0,0.15050232,0.01906478,0.00101205,100,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,0.99,0.01,0.0,0.12660338,0.00921407,0.0008575099999999999,100,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,0.99,0.01,0.0,0.04609282000000001,0.00639598,0.00019631,100,Instruct
Olmo-3.1-32B-Instruct,A_skr-cap_statistical,A,seeker-capacity,statistical,medium,fresh,adversarial,0.94,0.06,0.0,0.15234493999999998,0.041648750000000005,0.0015964400000000002,100,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_behavioral,A,source-capacity,behavioral,medium,fresh,adversarial,0.89,0.11,0.0,0.07787901,0.01161154,0.00221401,100,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_direct,A,source-capacity,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.22775454,7.67e-05,8.98e-06,100,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_inferential,A,source-capacity,inferential,medium,fresh,adversarial,0.99,0.01,0.0,0.12034421999999999,0.00699303,0.00018894000000000002,100,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_mechanism,A,source-capacity,mechanism,medium,fresh,adversarial,0.98,0.02,0.0,0.13306215,0.0109348,0.00027199,100,Instruct
Olmo-3.1-32B-Instruct,A_src-cap_statistical,A,source-capacity,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.08672786,0.00044782000000000003,6.699000000000001e-05,100,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_behavioral,A,source-motivation,behavioral,medium,fresh,adversarial,0.99,0.01,0.0,0.06627923,0.00425679,0.0011565899999999999,100,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_direct,A,source-motivation,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.37586424,1.407e-05,2.72e-06,100,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_inferential,A,source-motivation,inferential,medium,fresh,adversarial,0.55,0.45,0.0,0.056420620000000005,0.0587649,0.00064083,100,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_mechanism,A,source-motivation,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.31709717000000004,0.00186842,7.574e-05,100,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_statistical,A,source-motivation,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.09177576,0.00026265,6.647e-05,100,Instruct
Olmo-3.1-32B-Instruct,B_env_none,B,environmental,inferential,medium,none,adversarial,0.04,0.81,0.14,0.0031618,0.04380852,0.009290650000000001,100,Instruct
Olmo-3.1-32B-Instruct,B_env_stale-qual,B,environmental,inferential,medium,stale-quality,adversarial,0.48,0.51,0.01,0.04133403,0.06640731999999999,0.016652979999999998,100,Instruct
Olmo-3.1-32B-Instruct,B_env_stale-time,B,environmental,inferential,medium,stale-time,adversarial,0.63,0.37,0.0,0.04752668,0.03559245,0.00919538,100,Instruct
Olmo-3.1-32B-Instruct,B_no-cue_none,B,no-cue,none,none,none,adversarial,0.02,0.94,0.04,0.0013522400000000002,0.05117089,0.00235073,100,Instruct
Olmo-3.1-32B-Instruct,B_no-cue_stale-qual,B,no-cue,none,none,stale-quality,adversarial,0.89,0.11,0.0,0.05756286,0.01076996,0.0015874399999999999,100,Instruct
Olmo-3.1-32B-Instruct,B_no-cue_stale-time,B,no-cue,none,none,stale-time,adversarial,0.97,0.03,0.0,0.10763521000000001,0.0063865499999999995,0.00045867,100,Instruct
Olmo-3.1-32B-Instruct,B_skr-cap_none,B,seeker-capacity,inferential,medium,none,adversarial,0.11,0.75,0.12,0.0038653900000000002,0.03750216,0.00496011,100,Instruct
Olmo-3.1-32B-Instruct,B_skr-cap_stale-qual,B,seeker-capacity,inferential,medium,stale-quality,adversarial,0.84,0.16,0.0,0.06908017,0.01586723,0.0033354699999999997,100,Instruct
Olmo-3.1-32B-Instruct,B_skr-cap_stale-time,B,seeker-capacity,inferential,medium,stale-time,adversarial,1.0,0.0,0.0,0.10685061,0.0050014099999999995,0.00147196,100,Instruct
Olmo-3.1-32B-Instruct,B_src-cap_none,B,source-capacity,inferential,medium,none,adversarial,0.06,0.87,0.05,0.00597434,0.07574652999999999,0.0113501,100,Instruct
Olmo-3.1-32B-Instruct,B_src-cap_stale-qual,B,source-capacity,inferential,medium,stale-quality,adversarial,0.97,0.03,0.0,0.06741572,0.013796550000000001,0.0031438900000000003,100,Instruct
Olmo-3.1-32B-Instruct,B_src-cap_stale-time,B,source-capacity,inferential,medium,stale-time,adversarial,0.98,0.02,0.0,0.06958890000000001,0.005021210000000001,0.00078271,100,Instruct
Olmo-3.1-32B-Instruct,B_src-mot_none,B,source-motivation,inferential,medium,none,adversarial,0.0,0.99,0.01,0.0029152099999999997,0.09952420999999999,0.00611497,100,Instruct
Olmo-3.1-32B-Instruct,B_src-mot_stale-qual,B,source-motivation,inferential,medium,stale-quality,adversarial,0.47,0.53,0.0,0.026847799999999998,0.0384735,0.0017450599999999999,100,Instruct
Olmo-3.1-32B-Instruct,B_src-mot_stale-time,B,source-motivation,inferential,medium,stale-time,adversarial,0.39,0.61,0.0,0.0273585,0.052457460000000004,0.0008288600000000001,100,Instruct
