stage,condition,n_total,n_valid,n_null,null_rate,accuracy,follows_mia_rate
OLMo-3-7B-Instruct-DPO,asym_B2_intervening,100,85,15,0.15,0.1411764705882353,0.8588235294117647
OLMo-3-7B-Instruct-DPO,asym_B3_poor_vis,100,95,5,0.05,0.11578947368421053,0.8842105263157894
OLMo-3-7B-Instruct-DPO,conflict_C_cooperate,100,90,10,0.1,0.9222222222222223,0.9222222222222223
OLMo-3-7B-Instruct-DPO,conflict_A1_expert,100,96,4,0.04,0.15625,0.84375
OLMo-3-7B-Instruct-DPO,conflict_A2_unreliable,100,92,8,0.08,0.5543478260869565,0.44565217391304346
OLMo-3-7B-Instruct-DPO,conflict_A3_incentivized,100,90,10,0.1,0.25555555555555554,0.7444444444444445
OLMo-3-7B-Instruct-DPO,conflict_A4_malicious,100,96,4,0.04,0.34375,0.65625
OLMo-3-7B-Instruct-DPO,conflict_B1_forgetting,100,96,4,0.04,0.03125,0.96875
OLMo-3-7B-Instruct-DPO,conflict_B2_intervening,100,92,8,0.08,0.05434782608695652,0.9456521739130435
OLMo-3-7B-Instruct-DPO,conflict_B3_poor_vis,100,96,4,0.04,0.14583333333333334,0.8541666666666666
OLMo-3-7B-Instruct-RLVR-step400,mutual_C_cooperate,100,86,14,0.14,0.9767441860465116,0.9767441860465116
OLMo-3-7B-Instruct-RLVR-step400,mutual_A1_expert,100,61,39,0.39,0.3442622950819672,0.6557377049180327
OLMo-3-7B-Instruct-RLVR-step400,mutual_A2_unreliable,100,78,22,0.22,0.6410256410256411,0.358974358974359
OLMo-3-7B-Instruct-RLVR-step400,mutual_A3_incentivized,100,95,5,0.05,0.5157894736842106,0.4842105263157895
OLMo-3-7B-Instruct-RLVR-step400,mutual_A4_malicious,100,100,0,0.0,0.53,0.47
OLMo-3-7B-Instruct-RLVR-step400,mutual_B1_forgetting,100,56,44,0.44,0.32142857142857145,0.6785714285714286
OLMo-3-7B-Instruct-RLVR-step400,mutual_B2_intervening,100,61,39,0.39,0.29508196721311475,0.7049180327868853
OLMo-3-7B-Instruct-RLVR-step400,mutual_B3_poor_vis,100,81,19,0.19,0.4691358024691358,0.5308641975308642
OLMo-3-7B-Instruct-RLVR-step400,asym_C_cooperate,100,100,0,0.0,0.85,0.85
OLMo-3-7B-Instruct-RLVR-step400,asym_A1_expert,100,96,4,0.04,0.10416666666666667,0.8958333333333334
OLMo-3-7B-Instruct-RLVR-step400,asym_A2_unreliable,100,90,10,0.1,0.6,0.4
OLMo-3-7B-Instruct-RLVR-step400,asym_A3_incentivized,100,99,1,0.01,0.47474747474747475,0.5252525252525253
OLMo-3-7B-Instruct-RLVR-step400,asym_A4_malicious,100,92,8,0.08,0.5543478260869565,0.44565217391304346
OLMo-3-7B-Instruct-RLVR-step400,asym_B1_forgetting,100,94,6,0.06,0.0851063829787234,0.9148936170212766
OLMo-3-7B-Instruct-RLVR-step400,asym_B2_intervening,100,94,6,0.06,0.1595744680851064,0.8404255319148937
OLMo-3-7B-Instruct-RLVR-step400,asym_B3_poor_vis,100,98,2,0.02,0.15306122448979592,0.8469387755102041
OLMo-3-7B-Instruct-RLVR-step400,conflict_C_cooperate,100,89,11,0.11,0.7415730337078652,0.7415730337078652
OLMo-3-7B-Instruct-RLVR-step400,conflict_A1_expert,100,89,11,0.11,0.06741573033707865,0.9325842696629213
OLMo-3-7B-Instruct-RLVR-step400,conflict_A2_unreliable,100,96,4,0.04,0.5104166666666666,0.4895833333333333
OLMo-3-7B-Instruct-RLVR-step400,conflict_A3_incentivized,100,99,1,0.01,0.2828282828282828,0.7171717171717171
OLMo-3-7B-Instruct-RLVR-step400,conflict_A4_malicious,100,97,3,0.03,0.30927835051546393,0.6907216494845361
OLMo-3-7B-Instruct-RLVR-step400,conflict_B1_forgetting,100,88,12,0.12,0.045454545454545456,0.9545454545454546
OLMo-3-7B-Instruct-RLVR-step400,conflict_B2_intervening,100,93,7,0.07,0.06451612903225806,0.9354838709677419
OLMo-3-7B-Instruct-RLVR-step400,conflict_B3_poor_vis,100,89,11,0.11,0.10112359550561797,0.898876404494382
