checkpoint_label,question_id,n_cues
Base,q0493,16
Base,q0495,7
Base,q0496,3
Base,q0497,16
Base,q0498,1
Base,q0499,8
Base,q0500,6
DPO,q0001,18
DPO,q0003,18
DPO,q0004,9
DPO,q0005,13
DPO,q0006,18
DPO,q0009,4
DPO,q0010,17
DPO,q0011,1
DPO,q0012,7
DPO,q0013,9
DPO,q0014,19
DPO,q0015,17
DPO,q0017,3
DPO,q0018,18
DPO,q0019,18
DPO,q0020,1
DPO,q0021,1
DPO,q0022,3
DPO,q0023,9
DPO,q0024,19
DPO,q0025,10
DPO,q0028,19
DPO,q0029,7
DPO,q0031,19
DPO,q0032,15
DPO,q0034,17
DPO,q0035,17
DPO,q0036,2
DPO,q0038,11
DPO,q0039,18
DPO,q0040,1
DPO,q0041,1
DPO,q0042,9
DPO,q0044,13
DPO,q0045,3
DPO,q0046,18
DPO,q0047,12
DPO,q0048,19
DPO,q0050,7
DPO,q0051,1
DPO,q0052,10
DPO,q0053,19
DPO,q0054,16
DPO,q0055,14
DPO,q0057,3
DPO,q0058,16
DPO,q0059,19
DPO,q0062,19
DPO,q0063,16
DPO,q0064,10
DPO,q0065,10
DPO,q0068,14
DPO,q0069,16
DPO,q0070,16
DPO,q0071,17
DPO,q0073,18
DPO,q0074,19
DPO,q0075,19
DPO,q0076,15
DPO,q0078,19
DPO,q0081,18
DPO,q0082,19
DPO,q0083,2
DPO,q0085,14
DPO,q0086,16
DPO,q0087,19
DPO,q0090,1
DPO,q0091,19
DPO,q0092,18
DPO,q0095,5
DPO,q0096,15
DPO,q0097,2
DPO,q0098,15
DPO,q0100,11
DPO,q0101,9
DPO,q0104,4
DPO,q0105,1
DPO,q0106,15
DPO,q0107,7
DPO,q0108,1
DPO,q0109,19
DPO,q0110,19
DPO,q0112,18
DPO,q0113,2
DPO,q0114,18
DPO,q0115,12
DPO,q0118,17
DPO,q0119,9
DPO,q0121,15
DPO,q0122,3
DPO,q0123,14
DPO,q0124,15
DPO,q0125,8
DPO,q0129,19
DPO,q0130,5
DPO,q0131,17
DPO,q0132,3
DPO,q0133,14
DPO,q0134,9
DPO,q0135,6
DPO,q0136,14
DPO,q0137,8
DPO,q0138,17
DPO,q0139,11
DPO,q0140,19
DPO,q0141,3
DPO,q0142,18
DPO,q0143,6
DPO,q0144,1
DPO,q0145,18
DPO,q0146,4
DPO,q0148,19
DPO,q0149,7
DPO,q0150,12
DPO,q0151,19
DPO,q0152,6
DPO,q0153,19
DPO,q0154,10
DPO,q0155,3
DPO,q0157,5
DPO,q0159,18
DPO,q0160,10
DPO,q0161,15
DPO,q0162,18
DPO,q0164,11
DPO,q0165,19
DPO,q0166,1
DPO,q0167,10
DPO,q0169,16
DPO,q0170,5
DPO,q0171,1
DPO,q0172,2
DPO,q0175,19
DPO,q0176,4
DPO,q0179,4
DPO,q0180,1
DPO,q0183,3
DPO,q0185,17
DPO,q0186,4
DPO,q0187,12
DPO,q0188,17
DPO,q0189,19
DPO,q0191,19
DPO,q0194,18
DPO,q0196,10
DPO,q0198,18
DPO,q0199,7
DPO,q0200,2
DPO,q0201,10
DPO,q0203,14
DPO,q0208,19
DPO,q0209,19
DPO,q0210,19
DPO,q0211,16
DPO,q0214,6
DPO,q0215,10
DPO,q0216,14
DPO,q0217,1
DPO,q0218,19
DPO,q0220,10
DPO,q0222,19
DPO,q0223,14
DPO,q0224,5
DPO,q0225,14
DPO,q0226,5
DPO,q0227,19
